Reviewer name,Product Rating,Recommendation,comment
Vishnu Ramakrishnan,5,Classy product,Camera is awesomeBest battery backupA performer 👌🏻It will be a real value for money if they provide charger and earphone inbox!
siva sankar,5,Mind-blowing purchase,Photos super
Manish  Deshlahare,5,Terrific,Very very good
Flipkart Customer,5,Wonderful,This is amazing at all
Vikram rapolu,5,Just wow!,Perfect Product!!
Kuldeep Kumar,5,Perfect product!,V Good all
vikash  Yadav,5,Must buy!,It’s really awesome
Steevan Rattra ,5,Best in the market!,Good Camera
Abhishek Sachdeva,5,Worth every penny,Feeling awesome after getting the delivery of my phone. Dual speakers makes the sound quality very loud. Amazing!!
Dev,5,Terrific purchase,Value for money 😍
